Loan_ID,Age,Employment_Type,Annual_Income_INR,Credit_Score,Loan_Purpose,Loan_Amount_INR,Loan_Term_Months,Existing_Loans,Debt_to_Income_Ratio,Interest_Rate_Pct,Region,Loan_Status,Default_Flag
LN100036,30,Salaried,362400,685,Personal,299000,84,0,16.3,11.47,Central,Approved,No
LN100037,57,Salaried,331000,651,Vehicle,108000,12,0,56.4,14.28,Central,Rejected,No
LN100038,42,Salaried,632200,681,Business,881000,84,2,31.6,11.91,East,Approved,No
LN100039,60,Salaried,398100,618,Home,110000,72,1,39.0,11.79,West,Rejected,No
LN100040,29,Self-Employed,432400,714,Vehicle,532000,36,2,33.5,12.56,North,Rejected,No
LN100041,35,Salaried,423000,690,Vehicle,235000,60,2,11.3,11.86,South,Approved,No
LN100042,27,Business Owner,866300,736,Vehicle,782000,60,0,19.3,12.0,Central,Approved,No
LN100043,36,Self-Employed,572100,713,Vehicle,252000,36,1,25.7,11.56,North,Rejected,No
LN100044,43,Salaried,589200,713,Business,790000,36,1,43.9,11.51,South,Approved,Yes
LN100045,53,Business Owner,902600,606,Education,1545000,60,3,15.4,12.23,South,Rejected,No
LN100046,35,Business Owner,601200,732,Personal,287000,24,2,21.7,11.9,West,Approved,No
LN100047,51,Salaried,557800,678,Home,960000,24,1,34.0,12.2,West,Approved,No
LN100048,46,Salaried,841900,689,Personal,550000,36,1,37.7,12.53,North,Approved,No
LN100049,32,Self-Employed,938700,768,Vehicle,984000,60,1,37.3,11.24,North,Rejected,No
LN100050,57,Salaried,599500,653,Personal,775000,36,0,20.2,12.4,West,Approved,No
LN100051,38,Salaried,679500,788,Home,298000,60,1,12.8,10.84,North,Approved,No
LN100052,27,Salaried,422800,794,Medical,362000,24,0,38.5,10.94,South,Approved,No
LN100053,59,Business Owner,404900,749,Medical,87000,24,1,49.2,12.16,North,Rejected,No
LN100054,57,Self-Employed,992300,636,Business,1275000,60,3,27.9,12.16,West,Approved,No
LN100055,22,Self-Employed,830200,558,Business,671000,24,0,18.3,13.25,North,Rejected,No
LN100056,57,Business Owner,835000,770,Home,1349000,60,1,26.8,11.95,South,Approved,No
LN100057,58,Salaried,758600,707,Personal,429000,48,2,36.7,12.44,East,Approved,No
LN100058,54,Self-Employed,666700,652,Education,1113000,60,1,29.2,11.19,North,Rejected,No
LN100059,31,Salaried,953400,776,Business,324000,36,1,48.9,11.16,Central,Approved,No
LN100060,46,Salaried,1087100,644,Home,1230000,72,1,43.1,12.3,Central,Rejected,No
LN100061,42,Self-Employed,1072900,672,Education,669000,12,2,34.2,11.75,West,Rejected,No
LN100062,45,Salaried,615000,734,Personal,252000,72,3,8.5,10.79,South,Approved,No
LN100063,45,Self-Employed,1393800,628,Home,362000,36,1,23.7,13.04,North,Approved,No
LN100064,46,Business Owner,737000,693,Personal,895000,12,1,25.4,12.41,East,Approved,No
LN100065,41,Self-Employed,920400,771,Education,457000,60,1,23.0,10.94,South,Approved,No
LN100066,48,Self-Employed,759100,714,Personal,815000,36,1,34.3,12.38,East,Approved,No
LN100067,42,Self-Employed,744600,781,Business,1314000,48,0,34.5,11.67,North,Approved,No
LN100068,21,Salaried,433700,774,Personal,276000,72,0,11.9,10.91,West,Approved,No
LN100069,22,Salaried,956000,701,Education,152000,60,1,41.7,13.06,South,Rejected,No
LN100070,59,Salaried,3108500,548,Home,1066000,60,2,32.2,12.78,East,Approved,No
LN100071,57,Salaried,528900,628,Home,160000,84,0,36.3,12.75,North,Approved,No
LN100072,44,Salaried,675900,750,Home,600000,48,1,40.9,11.11,South,Approved,No
LN100073,27,Business Owner,508500,599,Personal,695000,12,0,22.8,11.9,South,Approved,No
LN100074,52,Salaried,497000,679,Vehicle,300000,72,2,47.1,11.62,South,Rejected,No
LN100075,26,Salaried,1519900,722,Education,529000,36,1,30.3,11.12,Central,Approved,No
LN100076,36,Salaried,448900,796,Education,534000,24,1,50.2,11.77,South,Approved,No
LN100077,34,Salaried,500800,663,Medical,306000,12,1,21.3,11.84,North,Rejected,No
LN100078,21,Self-Employed,271500,658,Home,293000,36,0,49.3,12.6,East,Rejected,No
LN100079,53,Self-Employed,428500,697,Education,723000,36,0,21.2,11.57,South,Approved,No
LN100080,41,Business Owner,254000,723,Vehicle,151000,36,0,62.6,13.85,Central,Rejected,No
LN100081,33,Self-Employed,920100,690,Home,894000,60,1,20.6,11.02,North,Rejected,No
LN100082,41,Salaried,3031500,768,Medical,4461000,60,2,44.7,10.93,Central,Rejected,No
LN100083,21,Business Owner,531300,648,Home,678000,84,1,27.7,11.74,West,Rejected,No
LN100084,38,Salaried,259900,708,Personal,358000,24,1,40.6,12.13,North,Rejected,No
LN100085,41,Salaried,1066300,729,Personal,1507000,24,1,31.5,12.14,South,Approved,No
LN100086,34,Salaried,435800,674,Business,444000,60,0,18.9,12.34,East,Approved,Yes
LN100087,54,Self-Employed,1328200,755,Personal,1343000,24,0,5.0,11.57,East,Approved,No
LN100088,30,Salaried,556600,710,Business,736000,36,2,62.1,12.62,South,Rejected,No
LN100089,26,Salaried,459200,751,Vehicle,591000,60,1,32.9,11.36,East,Rejected,No
LN100090,42,Salaried,589400,713,Vehicle,730000,60,3,5.0,12.39,West,Approved,No
LN100091,56,Salaried,986100,724,Personal,739000,36,1,35.6,9.97,East,Rejected,No
LN100092,36,Self-Employed,573600,659,Personal,865000,60,1,40.3,12.6,East,Rejected,No
LN100093,22,Salaried,494600,659,Personal,248000,60,1,23.4,12.44,Central,Approved,Yes
LN100094,59,Salaried,582700,780,Education,213000,72,3,23.5,12.48,East,Rejected,No
LN100095,38,Salaried,322900,741,Education,222000,36,2,31.8,10.53,South,Approved,No
LN100096,27,Self-Employed,808600,634,Vehicle,430000,60,1,46.4,12.62,South,Rejected,No
LN100097,45,Salaried,243300,712,Home,299000,60,1,33.2,11.01,North,Approved,No
LN100098,33,Salaried,509100,546,Vehicle,251000,36,1,49.6,12.44,South,Rejected,No
LN100099,58,Salaried,987000,663,Home,1200000,60,2,45.6,12.52,South,Approved,No
LN100100,32,Student,128212,762,Personal,125000,60,1,29.3,12.04,West,Rejected,No
LN100101,43,Business Owner,899300,692,Personal,323000,36,1,13.2,12.46,North,Rejected,No
LN100102,42,Self-Employed,627200,708,Personal,338000,48,1,29.3,11.52,West,Rejected,No
LN100103,30,Salaried,1236900,504,Personal,1221000,48,0,38.3,14.22,North,Rejected,No
LN100104,40,Student,99076,675,Home,133000,60,1,32.7,12.1,North,Rejected,No
LN100105,25,Business Owner,830800,722,Home,646000,12,2,39.6,12.43,South,Approved,No
LN100106,46,Self-Employed,1082600,730,Personal,537000,60,1,42.4,12.85,East,Rejected,No
LN100107,51,Salaried,982100,763,Business,591000,24,1,38.4,11.55,North,Rejected,No
LN100108,59,Salaried,510400,686,Personal,134000,60,1,28.7,12.81,North,Approved,Yes
LN100109,34,Salaried,310400,689,Personal,44000,60,2,38.2,11.42,East,Approved,No
LN100110,32,Business Owner,819100,613,Personal,1437000,60,1,58.8,13.85,South,Rejected,No
LN100111,42,Salaried,877700,687,Personal,232000,60,0,14.1,12.41,South,Rejected,No
LN100112,48,Salaried,1184100,618,Personal,370000,36,1,37.8,13.48,South,Rejected,No
LN100113,60,Salaried,388400,580,Personal,614000,36,1,54.0,12.71,South,Rejected,No
LN100114,22,Self-Employed,394800,629,Home,485000,60,0,17.9,12.1,North,Rejected,No
LN100115,30,Salaried,837100,798,Home,704000,24,1,44.0,11.75,South,Approved,No
LN100116,31,Business Owner,625000,682,Vehicle,752000,60,2,45.6,12.82,East,Rejected,No
LN100117,31,Business Owner,230400,714,Personal,389000,60,3,14.3,11.55,East,Approved,No
LN100118,39,Self-Employed,798900,667,Business,215000,72,2,40.5,13.5,Central,Rejected,No
LN100119,55,Salaried,234700,584,Vehicle,121000,36,0,28.7,11.96,West,Rejected,No
LN100120,22,Self-Employed,386500,761,Education,604000,60,0,31.3,11.35,North,Approved,No
LN100121,53,Self-Employed,1367000,559,Business,1951000,12,4,28.1,11.87,South,Rejected,No
LN100122,45,Self-Employed,1773400,664,Education,3175000,84,1,47.8,13.14,Central,Rejected,No
LN100123,45,Salaried,333100,696,Business,211000,60,0,30.7,12.41,South,Approved,No
LN100124,48,Salaried,542300,715,Home,925000,60,0,26.4,14.11,East,Approved,No
LN100125,25,Salaried,665400,653,Vehicle,455000,60,1,26.6,12.98,West,Rejected,No
LN100126,50,Salaried,1731300,581,Vehicle,2278000,36,1,27.9,13.11,East,Approved,No
LN100127,30,Salaried,495700,648,Education,793000,60,0,19.0,12.29,North,Approved,No
LN100128,41,Salaried,500000,651,Home,195000,72,1,26.3,12.05,North,Rejected,No
LN100129,48,Salaried,1523500,650,Education,685000,24,1,33.4,12.55,North,Approved,Yes
LN100130,45,Self-Employed,528900,763,Vehicle,575000,84,3,36.9,11.84,North,Approved,No
LN100131,33,Salaried,967000,621,Education,1484000,72,0,46.4,11.64,North,Rejected,No
LN100132,36,Business Owner,288500,720,Business,68000,84,2,34.9,12.08,East,Approved,No
LN100133,40,Self-Employed,591600,710,Home,915000,72,0,26.3,11.87,South,Rejected,No
LN100134,22,Salaried,260900,762,Vehicle,178000,36,2,19.9,12.45,North,Approved,No
LN100135,50,Self-Employed,363800,691,Home,288000,60,1,35.5,12.09,North,Rejected,No
LN100136,24,Salaried,1031300,751,Medical,699000,24,1,30.6,11.05,Central,Approved,No
LN100137,39,Student,176200,689,Business,291000,60,1,31.0,12.28,North,Rejected,No
LN100138,47,Salaried,545400,728,Medical,176000,24,1,35.2,11.93,South,Rejected,No
LN100139,24,Business Owner,430600,602,Medical,463000,72,2,38.2,12.87,East,Rejected,No
LN100140,60,Salaried,575700,529,Education,203000,36,3,35.2,12.58,North,Rejected,No
LN100141,36,Salaried,767100,725,Personal,1288000,24,2,30.0,11.67,North,Approved,No
LN100142,21,Salaried,1116100,728,Education,1626000,12,1,22.4,11.16,North,Approved,No
LN100143,47,Business Owner,153400,731,Business,76000,60,1,24.6,11.44,Central,Approved,No
LN100144,43,Self-Employed,411400,666,Vehicle,249000,24,0,42.2,13.06,East,Rejected,No
LN100145,46,Salaried,709400,797,Vehicle,531000,24,4,26.9,10.65,East,Approved,No
LN100146,51,Salaried,615600,670,Medical,486000,24,2,15.8,11.71,Central,Approved,No
LN100147,40,Salaried,811500,727,Business,1209000,36,1,45.9,12.54,East,Rejected,No
LN100148,54,Self-Employed,753000,739,Medical,798000,84,1,20.7,11.24,South,Approved,No
LN100149,35,Salaried,549700,812,Home,455000,48,1,32.4,12.97,East,Approved,No
LN100150,42,Salaried,486500,679,Education,644000,36,1,37.9,12.51,East,Rejected,No
LN100151,27,Business Owner,567900,658,Education,499000,24,1,32.0,11.49,South,Approved,No
LN100152,45,Business Owner,1222700,603,Vehicle,389000,12,2,5.0,11.54,West,Rejected,No
LN100153,31,Salaried,434600,801,Vehicle,123000,36,0,36.7,10.68,North,Approved,No
LN100154,48,Self-Employed,627900,727,Education,411000,24,0,47.9,11.63,North,Rejected,No
LN100155,53,Salaried,719000,729,Business,809000,12,2,41.4,12.4,South,Rejected,No
LN100156,55,Self-Employed,1533300,850,Education,505000,24,1,6.5,9.41,North,Approved,No
LN100157,58,Salaried,551000,721,Personal,570000,36,3,57.5,12.26,Central,Approved,No
LN100158,25,Self-Employed,1101400,615,Business,615000,60,2,16.1,13.11,East,Rejected,No
LN100159,26,Self-Employed,1279900,687,Personal,1641000,12,3,19.1,11.44,North,Rejected,No
LN100160,58,Business Owner,627600,637,Vehicle,93000,60,2,41.4,13.23,East,Approved,No
LN100161,36,Salaried,578900,674,Home,519000,60,2,37.4,11.19,West,Approved,No
LN100162,22,Business Owner,542400,674,Home,102000,72,2,33.0,12.0,South,Approved,No
LN100163,32,Salaried,564700,662,Personal,374000,24,0,25.2,11.54,East,Rejected,No
LN100164,54,Salaried,1039800,609,Vehicle,132000,60,2,48.0,13.36,West,Approved,Yes
LN100165,35,Self-Employed,738100,804,Home,662000,72,6,31.5,10.46,South,Rejected,No
LN100166,24,Salaried,739800,719,Medical,1039000,84,4,13.2,12.85,East,Rejected,No
LN100167,49,Business Owner,350100,685,Personal,95000,72,0,46.8,11.37,East,Rejected,No
LN100168,28,Business Owner,381800,749,Business,515000,24,0,34.6,12.49,West,Rejected,No
LN100169,35,Salaried,2113000,731,Vehicle,2310000,84,0,45.4,12.73,Central,Approved,No
LN100170,21,Student,90606,718,Medical,87000,72,2,38.9,12.27,Central,Rejected,No
LN100171,45,Salaried,424500,745,Home,475000,36,0,60.7,12.42,North,Rejected,No
LN100172,38,Salaried,1428100,709,Home,958000,24,1,28.3,13.16,West,Rejected,No
LN100173,55,Salaried,759000,744,Business,992000,84,0,32.2,13.41,West,Approved,No
LN100174,34,Business Owner,893300,749,Business,1273000,24,0,40.6,11.7,South,Approved,No
LN100175,29,Salaried,602500,711,Vehicle,857000,60,2,28.4,11.96,Central,Rejected,No
LN100176,27,Salaried,545500,686,Home,304000,48,0,41.6,11.99,Central,Approved,No
LN100177,29,Salaried,592100,799,Education,717000,60,0,5.0,9.74,West,Rejected,No
LN100178,39,Student,96989,669,Business,34000,24,2,31.1,12.57,North,Approved,No
LN100179,24,Business Owner,619300,725,Business,584000,60,3,30.8,11.97,North,Approved,No
LN100180,37,Business Owner,764900,727,Vehicle,80000,60,0,30.3,10.64,Central,Rejected,No
LN100181,55,Business Owner,1798500,660,Home,772000,84,0,21.5,12.4,Central,Rejected,No
LN100182,51,Business Owner,681500,647,Personal,800000,24,2,42.9,12.92,South,Rejected,No
LN100183,46,Salaried,180000,677,Personal,286000,24,0,25.9,11.64,South,Approved,No
LN100184,56,Salaried,617300,668,Vehicle,113000,24,0,34.4,11.87,East,Approved,No
LN100185,52,Business Owner,2932800,605,Personal,3078000,12,2,31.6,13.07,North,Approved,No
LN100186,47,Self-Employed,1046800,658,Medical,1238000,84,2,38.0,13.64,East,Rejected,No
LN100187,55,Salaried,416100,717,Education,701000,24,1,49.2,12.6,Central,Approved,No
LN100188,25,Salaried,899700,782,Personal,1092000,36,3,34.3,11.97,South,Approved,No
LN100189,53,Business Owner,432200,736,Personal,119000,72,0,42.1,11.41,West,Approved,No
LN100190,32,Salaried,308700,531,Personal,108000,36,2,33.7,13.13,East,Rejected,No
LN100191,50,Business Owner,536700,742,Business,634000,36,1,25.9,11.96,South,Rejected,No
LN100192,57,Salaried,683600,664,Personal,319000,60,2,30.3,11.32,South,Approved,No
LN100193,40,Salaried,232100,729,Personal,389000,36,2,28.6,11.85,East,Rejected,No
LN100194,24,Business Owner,345500,699,Home,575000,72,1,38.8,12.55,West,Rejected,No
LN100195,35,Salaried,653700,687,Personal,1120000,60,2,33.3,12.13,East,Approved,No
LN100196,37,Salaried,519300,693,Home,311000,36,1,22.5,12.07,Central,Approved,No
LN100197,58,Self-Employed,807600,699,Home,1065000,60,0,29.3,12.01,North,Rejected,No
LN100198,58,Business Owner,333300,787,Vehicle,409000,72,2,13.7,10.44,Central,Approved,No
LN100199,43,Salaried,962700,699,Personal,155000,36,1,29.8,11.15,East,Approved,No
LN100200,59,Salaried,339000,771,Medical,187000,60,1,32.0,11.39,South,Rejected,No
LN100201,38,Business Owner,1604400,761,Personal,724000,48,0,53.7,12.99,North,Rejected,No
LN100202,37,Student,145457,743,Business,106000,60,0,48.2,12.8,South,Rejected,No
LN100203,54,Salaried,356400,584,Vehicle,613000,60,0,19.6,12.4,South,Rejected,No
LN100204,47,Salaried,817700,773,Personal,1257000,12,2,34.4,11.24,Central,Approved,No
LN100205,41,Salaried,1623400,670,Medical,972000,48,1,34.6,12.02,West,Approved,No
LN100206,39,Salaried,773000,747,Vehicle,774000,24,2,29.2,11.27,North,Rejected,No
LN100207,49,Salaried,885800,637,Business,378000,60,1,30.0,12.68,South,Approved,No
LN100208,51,Self-Employed,656300,623,Personal,375000,60,2,27.8,13.28,East,Approved,No
LN100209,40,Salaried,369600,828,Education,78000,36,2,54.5,13.15,Central,Rejected,No
LN100210,22,Salaried,496400,638,Personal,592000,12,1,27.0,11.82,West,Approved,No
LN100211,25,Self-Employed,333800,774,Education,406000,84,2,36.1,11.99,North,Approved,No
LN100212,26,Self-Employed,321700,708,Home,491000,36,0,5.0,11.67,North,Approved,Yes
LN100213,39,Salaried,810700,673,Education,1282000,36,6,41.9,12.26,North,Rejected,No
LN100214,45,Business Owner,350500,697,Home,130000,24,0,46.2,11.69,East,Rejected,No
LN100215,53,Self-Employed,774900,615,Vehicle,1056000,60,2,19.4,12.58,North,Approved,No
LN100216,30,Self-Employed,317700,699,Business,105000,36,2,25.9,13.36,South,Approved,No
LN100217,52,Salaried,765100,630,Vehicle,563000,72,1,37.4,12.91,West,Rejected,No
LN100218,47,Salaried,496800,674,Business,485000,60,0,32.2,11.69,South,Rejected,No
LN100219,23,Business Owner,1409000,760,Personal,259000,12,0,37.6,11.57,Central,Approved,No
LN100220,35,Salaried,776700,717,Home,285000,60,2,28.6,11.01,West,Approved,No
LN100221,33,Salaried,1282600,604,Home,719000,36,1,54.4,13.37,South,Rejected,No
LN100222,56,Salaried,429000,755,Medical,136000,12,0,24.0,11.86,North,Approved,No
LN100223,57,Self-Employed,670400,700,Personal,1132000,60,1,64.3,12.35,East,Rejected,No
LN100224,53,Student,135049,665,Medical,80000,36,1,46.9,10.4,West,Rejected,No
LN100225,42,Salaried,517700,749,Education,493000,72,1,42.0,12.08,East,Rejected,No
LN100226,40,Business Owner,562700,689,Personal,1010000,60,4,19.5,11.45,Central,Rejected,No
LN100227,33,Salaried,436000,624,Business,464000,36,0,42.9,12.38,West,Rejected,No
LN100228,51,Self-Employed,333100,820,Medical,266000,84,0,39.2,10.71,East,Rejected,No
LN100229,24,Self-Employed,298700,699,Home,502000,60,0,6.6,11.68,North,Approved,No
LN100230,31,Salaried,179500,695,Medical,86000,24,0,15.1,11.36,South,Approved,No
LN100231,26,Salaried,363600,674,Vehicle,147000,60,1,36.3,12.99,East,Rejected,No
LN100232,40,Salaried,917900,777,Business,927000,84,1,30.4,12.04,South,Rejected,No
LN100233,32,Student,120160,666,Personal,99000,48,1,25.8,11.95,West,Rejected,No
LN100234,28,Self-Employed,306300,600,Personal,446000,48,1,44.9,12.78,South,Rejected,No
LN100235,36,Business Owner,1740600,656,Vehicle,298000,48,0,21.4,12.2,North,Rejected,No
LN100236,55,Business Owner,458000,786,Business,527000,36,0,26.5,11.1,West,Approved,No
LN100237,43,Salaried,775500,754,Education,1014000,24,2,24.2,10.17,East,Approved,No
LN100238,53,Business Owner,925400,683,Vehicle,1622000,60,0,38.1,13.65,North,Approved,No
LN100239,57,Salaried,935800,789,Personal,325000,72,0,11.4,11.3,East,Rejected,No
LN100240,57,Salaried,281400,749,Personal,146000,60,2,26.0,11.16,West,Approved,No
LN100241,35,Business Owner,572400,683,Vehicle,965000,24,0,11.3,10.3,South,Approved,No
LN100242,56,Business Owner,266900,689,Personal,313000,48,2,28.2,11.89,South,Rejected,No
LN100243,57,Salaried,2496000,721,Vehicle,411000,12,1,40.7,11.66,West,Approved,No
LN100244,59,Self-Employed,270400,646,Personal,63000,36,1,40.9,12.64,West,Approved,No
LN100245,35,Self-Employed,365300,700,Personal,524000,60,1,23.3,10.29,North,Approved,No
LN100246,30,Business Owner,366700,720,Personal,390000,36,5,38.4,11.69,South,Approved,No
LN100247,44,Self-Employed,285400,590,Business,303000,72,0,29.8,12.56,West,Rejected,No
LN100248,58,Salaried,1367700,688,Personal,2183000,48,1,48.3,12.39,South,Approved,No
LN100249,57,Salaried,2463500,680,Home,1256000,60,0,30.4,11.98,Central,Rejected,No
LN100250,43,Salaried,500400,767,Personal,187000,72,3,5.0,10.85,North,Approved,No
LN100251,26,Self-Employed,314400,580,Home,360000,60,4,42.7,14.32,West,Rejected,No
LN100252,37,Business Owner,189900,675,Education,304000,72,0,26.5,11.73,Central,Approved,No
LN100253,49,Salaried,568300,669,Business,313000,72,4,28.7,11.55,South,Rejected,No
LN100254,43,Salaried,546200,762,Vehicle,687000,60,3,36.0,10.42,East,Approved,No
LN100255,34,Salaried,454300,697,Vehicle,163000,36,0,14.9,11.26,North,Approved,No
LN100256,34,Business Owner,734200,817,Medical,288000,36,0,32.9,10.13,East,Approved,No
LN100257,23,Business Owner,807800,743,Education,1319000,72,2,38.4,12.51,Central,Approved,No
LN100258,32,Salaried,776400,673,Home,233000,12,1,36.4,12.28,Central,Rejected,No
LN100259,47,Salaried,546300,716,Home,77000,84,2,24.8,12.37,South,Rejected,No
LN100260,30,Self-Employed,354600,677,Education,503000,36,0,43.9,13.53,West,Approved,No
LN100261,60,Salaried,937500,756,Personal,671000,60,1,20.0,10.67,West,Rejected,No
LN100262,24,Business Owner,654500,613,Business,507000,36,3,24.5,12.29,South,Approved,No
LN100263,44,Salaried,1059500,646,Personal,1547000,84,0,30.4,13.35,West,Rejected,No
LN100264,40,Salaried,1003800,730,Education,407000,12,1,35.5,12.0,North,Rejected,No
LN100265,54,Business Owner,297400,780,Personal,359000,36,1,28.1,11.65,Central,Approved,No
LN100266,56,Salaried,295300,557,Home,187000,72,0,46.7,14.26,Central,Rejected,No
LN100267,42,Salaried,429000,789,Personal,119000,36,1,35.5,12.03,East,Approved,No
LN100268,46,Salaried,363600,691,Personal,461000,36,1,32.9,12.41,South,Rejected,No
LN100269,48,Salaried,984700,578,Home,632000,72,0,35.1,14.06,Central,Rejected,No
LN100270,41,Salaried,788500,505,Business,1240000,72,0,40.8,13.76,North,Rejected,No
LN100271,28,Salaried,1189800,601,Business,1978000,24,0,34.9,13.25,East,Rejected,No
LN100272,38,Salaried,808400,699,Education,1248000,60,1,10.3,11.37,East,Rejected,No
LN100273,30,Salaried,729000,696,Personal,472000,36,1,45.1,13.1,South,Approved,No
LN100274,39,Self-Employed,1257400,741,Personal,631000,36,0,33.4,11.24,North,Rejected,No
LN100275,45,Self-Employed,841600,664,Home,1362000,60,0,40.2,11.34,South,Rejected,No
LN100276,29,Salaried,674800,628,Home,587000,24,1,27.1,12.94,Central,Approved,No
LN100277,30,Salaried,1467400,673,Personal,1912000,48,0,10.1,10.98,West,Approved,Yes
LN100278,53,Salaried,692500,702,Medical,1043000,36,3,5.0,10.55,West,Approved,No
LN100279,36,Business Owner,549800,715,Personal,315000,72,1,20.7,12.51,East,Rejected,No
LN100280,28,Business Owner,410000,649,Personal,124000,60,2,38.2,13.26,West,Rejected,No
LN100281,49,Salaried,956800,759,Personal,1112000,36,2,47.6,11.7,East,Approved,No
LN100282,49,Salaried,1283500,660,Vehicle,1416000,84,0,35.6,10.3,West,Rejected,No
LN100283,54,Salaried,632200,643,Home,354000,72,1,19.4,12.54,Central,Rejected,No
LN100284,51,Salaried,1334500,665,Vehicle,1460000,36,1,22.6,12.53,South,Rejected,No
LN100285,60,Self-Employed,220000,770,Medical,318000,84,1,48.3,12.23,Central,Approved,No
LN100286,43,Salaried,630500,691,Business,438000,36,2,16.3,12.03,Central,Approved,No
LN100287,32,Salaried,635800,655,Medical,325000,36,2,57.2,12.89,South,Rejected,No
LN100288,55,Salaried,435800,760,Home,581000,36,0,54.5,11.82,Central,Rejected,No
LN100289,31,Self-Employed,2411700,839,Personal,3463000,24,1,57.6,10.78,Central,Rejected,No
LN100290,32,Salaried,626800,714,Personal,1080000,60,1,36.6,11.54,North,Rejected,No
LN100291,54,Business Owner,519400,780,Education,182000,60,0,27.9,11.51,North,Approved,No
LN100292,56,Salaried,659300,767,Education,1063000,72,2,36.3,11.83,West,Rejected,No
LN100293,34,Business Owner,216000,661,Business,303000,36,1,42.9,13.16,West,Rejected,No
LN100294,50,Salaried,428000,702,Personal,554000,24,0,24.2,10.83,South,Rejected,No
LN100295,57,Business Owner,1116300,617,Personal,706000,36,0,18.8,11.2,East,Rejected,No
LN100296,52,Business Owner,459900,687,Education,63000,24,1,28.6,11.78,East,Approved,No
LN100297,21,Student,68029,659,Personal,66000,84,1,22.7,11.41,South,Approved,No
LN100298,47,Business Owner,1335700,674,Home,782000,60,1,46.9,12.74,North,Rejected,No
LN100299,27,Business Owner,1358500,651,Home,805000,60,0,24.6,11.32,North,Rejected,No
LN100300,54,Self-Employed,863800,681,Personal,1448000,60,3,33.1,13.03,West,Approved,No
LN100301,23,Business Owner,506100,735,Education,182000,36,1,43.8,11.46,North,Rejected,No
LN100302,60,Salaried,569800,692,Medical,962000,24,1,47.4,13.59,East,Approved,No
